
  0%|          | 0/50 [00:00<?, ?it/s]
Epoch 0 | train_loss: 2.1244:   0%|          | 0/50 [00:04<?, ?it/s]
Epoch 0 | train_loss: 2.1244:   2%|▏         | 1/50 [00:04<03:17,  4.03s/it]
Epoch 1 | train_loss: 1.1786:   2%|▏         | 1/50 [00:07<03:17,  4.03s/it]
Epoch 1 | train_loss: 1.1786:   4%|▍         | 2/50 [00:07<02:54,  3.63s/it]
Epoch 2 | train_loss: 0.8208:   4%|▍         | 2/50 [00:10<02:54,  3.63s/it]
Epoch 2 | train_loss: 0.8208:   6%|▌         | 3/50 [00:10<02:44,  3.51s/it]
Epoch 3 | train_loss: 1.2277:   6%|▌         | 3/50 [00:14<02:44,  3.51s/it]
Epoch 3 | train_loss: 1.2277:   8%|▊         | 4/50 [00:14<02:37,  3.42s/it]
Epoch 4 | train_loss: 0.6964:   8%|▊         | 4/50 [00:17<02:37,  3.42s/it]
Epoch 4 | train_loss: 0.6964:  10%|█         | 5/50 [00:17<02:29,  3.32s/it]
Epoch 5 | train_loss: 0.6931:  10%|█         | 5/50 [00:20<02:29,  3.32s/it]
Epoch 5 | train_loss: 0.6931:  12%|█▏        | 6/50 [00:20<02:23,  3.26s/it]
Epoch 6 | train_loss: 0.6429:  12%|█▏        | 6/50 [00:23<02:23,  3.26s/it]
Epoch 6 | train_loss: 0.6429:  14%|█▍        | 7/50 [00:23<02:19,  3.25s/it]
Epoch 7 | train_loss: 0.6495:  14%|█▍        | 7/50 [00:26<02:19,  3.25s/it]
Epoch 7 | train_loss: 0.6495:  16%|█▌        | 8/50 [00:26<02:15,  3.22s/it]
Epoch 8 | train_loss: 0.6629:  16%|█▌        | 8/50 [00:29<02:15,  3.22s/it]
Epoch 8 | train_loss: 0.6629:  18%|█▊        | 9/50 [00:29<02:11,  3.20s/it]
Epoch 9 | train_loss: 0.6969:  18%|█▊        | 9/50 [00:33<02:11,  3.20s/it]
Epoch 9 | train_loss: 0.6969:  20%|██        | 10/50 [00:33<02:08,  3.22s/it]
Epoch 10 | train_loss: 0.6733:  20%|██        | 10/50 [00:36<02:08,  3.22s/it]
Epoch 10 | train_loss: 0.6733:  22%|██▏       | 11/50 [00:36<02:06,  3.24s/it]
Epoch 11 | train_loss: 0.6046:  22%|██▏       | 11/50 [00:39<02:06,  3.24s/it]
Epoch 11 | train_loss: 0.6046:  24%|██▍       | 12/50 [00:39<02:01,  3.20s/it]
Epoch 12 | train_loss: 0.5936:  24%|██▍       | 12/50 [00:42<02:01,  3.20s/it]
Epoch 12 | train_loss: 0.5936:  26%|██▌       | 13/50 [00:42<01:58,  3.21s/it]
Epoch 13 | train_loss: 0.6310:  26%|██▌       | 13/50 [00:46<01:58,  3.21s/it]
Epoch 13 | train_loss: 0.6310:  28%|██▊       | 14/50 [00:46<01:56,  3.25s/it]
Epoch 14 | train_loss: 0.6005:  28%|██▊       | 14/50 [00:49<01:56,  3.25s/it]
Epoch 14 | train_loss: 0.6005:  30%|███       | 15/50 [00:49<01:53,  3.24s/it]
Epoch 15 | train_loss: 0.6145:  30%|███       | 15/50 [00:52<01:53,  3.24s/it]
Epoch 15 | train_loss: 0.6145:  32%|███▏      | 16/50 [00:52<01:50,  3.25s/it]
Epoch 16 | train_loss: 0.5660:  32%|███▏      | 16/50 [00:55<01:50,  3.25s/it]
Epoch 16 | train_loss: 0.5660:  34%|███▍      | 17/50 [00:55<01:46,  3.22s/it]
Epoch 17 | train_loss: 0.5825:  34%|███▍      | 17/50 [00:58<01:46,  3.22s/it]
Epoch 17 | train_loss: 0.5825:  36%|███▌      | 18/50 [00:58<01:41,  3.17s/it]
Epoch 18 | train_loss: 0.5058:  36%|███▌      | 18/50 [01:01<01:41,  3.17s/it]
Epoch 18 | train_loss: 0.5058:  38%|███▊      | 19/50 [01:01<01:37,  3.16s/it]
Epoch 19 | train_loss: 0.5402:  38%|███▊      | 19/50 [01:05<01:37,  3.16s/it]
Epoch 19 | train_loss: 0.5402:  40%|████      | 20/50 [01:05<01:34,  3.16s/it]
Epoch 20 | train_loss: 0.5103:  40%|████      | 20/50 [01:08<01:34,  3.16s/it]
Epoch 20 | train_loss: 0.5103:  42%|████▏     | 21/50 [01:08<01:32,  3.18s/it]
Epoch 21 | train_loss: 0.5155:  42%|████▏     | 21/50 [01:11<01:32,  3.18s/it]
Epoch 21 | train_loss: 0.5155:  44%|████▍     | 22/50 [01:11<01:27,  3.13s/it]
Epoch 22 | train_loss: 0.4739:  44%|████▍     | 22/50 [01:14<01:27,  3.13s/it]
Epoch 22 | train_loss: 0.4739:  46%|████▌     | 23/50 [01:14<01:24,  3.14s/it]
Epoch 23 | train_loss: 0.4943:  46%|████▌     | 23/50 [01:17<01:24,  3.14s/it]
Epoch 23 | train_loss: 0.4943:  48%|████▊     | 24/50 [01:17<01:21,  3.13s/it]
Epoch 24 | train_loss: 0.5626:  48%|████▊     | 24/50 [01:20<01:21,  3.13s/it]
Epoch 24 | train_loss: 0.5626:  50%|█████     | 25/50 [01:20<01:17,  3.12s/it]
Epoch 25 | train_loss: 0.5082:  50%|█████     | 25/50 [01:23<01:17,  3.12s/it]
Epoch 25 | train_loss: 0.5082:  52%|█████▏    | 26/50 [01:23<01:16,  3.17s/it]
Epoch 26 | train_loss: 0.5010:  52%|█████▏    | 26/50 [01:27<01:16,  3.17s/it]
Epoch 26 | train_loss: 0.5010:  54%|█████▍    | 27/50 [01:27<01:13,  3.18s/it]
Epoch 27 | train_loss: 0.5044:  54%|█████▍    | 27/50 [01:30<01:13,  3.18s/it]
Epoch 27 | train_loss: 0.5044:  56%|█████▌    | 28/50 [01:30<01:10,  3.21s/it]
Epoch 28 | train_loss: 0.4529:  56%|█████▌    | 28/50 [01:33<01:10,  3.21s/it]
Epoch 28 | train_loss: 0.4529:  58%|█████▊    | 29/50 [01:33<01:07,  3.22s/it]
Epoch 29 | train_loss: 0.4672:  58%|█████▊    | 29/50 [01:36<01:07,  3.22s/it]
Epoch 29 | train_loss: 0.4672:  60%|██████    | 30/50 [01:36<01:03,  3.19s/it]
Epoch 30 | train_loss: 0.4310:  60%|██████    | 30/50 [01:48<01:03,  3.19s/it]
Epoch 30 | train_loss: 0.4310:  62%|██████▏   | 31/50 [01:48<01:47,  5.64s/it]
Epoch 31 | train_loss: 0.5491:  62%|██████▏   | 31/50 [01:51<01:47,  5.64s/it]
Epoch 31 | train_loss: 0.5491:  64%|██████▍   | 32/50 [01:51<01:28,  4.90s/it]
Epoch 32 | train_loss: 0.4082:  64%|██████▍   | 32/50 [01:54<01:28,  4.90s/it]
Epoch 32 | train_loss: 0.4082:  66%|██████▌   | 33/50 [01:54<01:14,  4.38s/it]
Epoch 33 | train_loss: 0.4465:  66%|██████▌   | 33/50 [01:57<01:14,  4.38s/it]
Epoch 33 | train_loss: 0.4465:  68%|██████▊   | 34/50 [01:57<01:04,  4.03s/it]
Epoch 34 | train_loss: 0.4545:  68%|██████▊   | 34/50 [02:00<01:04,  4.03s/it]
Epoch 34 | train_loss: 0.4545:  70%|███████   | 35/50 [02:00<00:56,  3.78s/it]
Epoch 35 | train_loss: 0.4540:  70%|███████   | 35/50 [02:04<00:56,  3.78s/it]
Epoch 35 | train_loss: 0.4540:  72%|███████▏  | 36/50 [02:04<00:50,  3.60s/it]
Epoch 36 | train_loss: 0.3630:  72%|███████▏  | 36/50 [02:09<00:50,  3.60s/it]
Epoch 36 | train_loss: 0.3630:  74%|███████▍  | 37/50 [02:09<00:52,  4.05s/it]
Epoch 37 | train_loss: 0.3690:  74%|███████▍  | 37/50 [02:14<00:52,  4.05s/it]
Epoch 37 | train_loss: 0.3690:  76%|███████▌  | 38/50 [02:14<00:53,  4.48s/it]
Epoch 38 | train_loss: 0.3937:  76%|███████▌  | 38/50 [02:18<00:53,  4.48s/it]
Epoch 38 | train_loss: 0.3937:  78%|███████▊  | 39/50 [02:18<00:47,  4.30s/it]
Epoch 39 | train_loss: 0.3897:  78%|███████▊  | 39/50 [02:21<00:47,  4.30s/it]
Epoch 39 | train_loss: 0.3897:  80%|████████  | 40/50 [02:21<00:39,  4.00s/it]
Epoch 40 | train_loss: 0.4072:  80%|████████  | 40/50 [02:25<00:39,  4.00s/it]
Epoch 40 | train_loss: 0.4072:  82%|████████▏ | 41/50 [02:25<00:34,  3.78s/it]
Epoch 41 | train_loss: 0.4136:  82%|████████▏ | 41/50 [02:28<00:34,  3.78s/it]
Epoch 41 | train_loss: 0.4136:  84%|████████▍ | 42/50 [02:28<00:29,  3.66s/it]
Epoch 42 | train_loss: 0.3230:  84%|████████▍ | 42/50 [02:31<00:29,  3.66s/it]
Epoch 42 | train_loss: 0.3230:  86%|████████▌ | 43/50 [02:31<00:24,  3.49s/it]
Epoch 43 | train_loss: 0.3821:  86%|████████▌ | 43/50 [02:34<00:24,  3.49s/it]
Epoch 43 | train_loss: 0.3821:  88%|████████▊ | 44/50 [02:34<00:20,  3.38s/it]
Epoch 44 | train_loss: 0.3738:  88%|████████▊ | 44/50 [02:37<00:20,  3.38s/it]
Epoch 44 | train_loss: 0.3738:  90%|█████████ | 45/50 [02:37<00:16,  3.29s/it]
Epoch 45 | train_loss: 0.3449:  90%|█████████ | 45/50 [02:40<00:16,  3.29s/it]
Epoch 45 | train_loss: 0.3449:  92%|█████████▏| 46/50 [02:40<00:12,  3.25s/it]
Epoch 46 | train_loss: 0.3885:  92%|█████████▏| 46/50 [02:44<00:12,  3.25s/it]
Epoch 46 | train_loss: 0.3885:  94%|█████████▍| 47/50 [02:44<00:09,  3.20s/it]
Epoch 47 | train_loss: 0.3809:  94%|█████████▍| 47/50 [02:47<00:09,  3.20s/it]
Epoch 47 | train_loss: 0.3809:  96%|█████████▌| 48/50 [02:47<00:06,  3.17s/it]
Epoch 48 | train_loss: 0.3666:  96%|█████████▌| 48/50 [02:50<00:06,  3.17s/it]
Epoch 48 | train_loss: 0.3666:  98%|█████████▊| 49/50 [02:50<00:03,  3.18s/it]
Epoch 49 | train_loss: 0.3993:  98%|█████████▊| 49/50 [02:53<00:03,  3.18s/it]
Epoch 49 | train_loss: 0.3993: 100%|██████████| 50/50 [02:53<00:00,  3.17s/it]
Epoch 49 | train_loss: 0.3993: 100%|██████████| 50/50 [02:53<00:00,  3.47s/it]
